pi0_s1,pi0_s2,pi1_s1,D_ts,phi,ny,x1,sty_ts,D_os,x_os,sty_os,pi0_ratio,pi1_ratio,TS_adv,errors
0.02,2.0,0.9999999999999992,0.11,0.7299999999999999,0.6699999999999999,15.278627891090103,16.273266566800064,0.26,14.702523931296907,4.116706700763132,0.01,0.96,2.9529817763756205,
0.02,1.0,0.000850340136054422,0.07,0.69,0.7699999999999999,20.912821843649198,11.208040145480183,0.14,22.068495071918072,0.44399710323263747,0.02,0.02,24.243498355906162,
0.02,1.0,0.005149812734082397,0.07,0.69,0.7699999999999999,20.890319846601788,11.20031857945237,0.15,22.000382262179905,0.4570023225528662,0.02,0.11,23.508231198664667,
0.02,2.0,2.041666666666665,0.1,0.7499999999999999,0.69,12.086168109405266,14.434812727265438,0.27,11.46128518291393,6.5472591607395785,0.01,0.98,1.2047107610805008,
0.02,2.0,0.479166666666667,0.09,0.6299999999999999,0.7299999999999999,18.315813364901544,17.44340827956457,0.25,17.024436402173162,2.3798743387204575,0.01,0.92,6.329550134543255,
0.02,1.0,0.006226053639846744,0.07,0.69,0.7699999999999999,20.88467763791587,11.198379152810862,0.15,21.992195232545143,0.460382592727274,0.02,0.13,23.324071608512508,
0.02,1.0,0.008534136546184741,0.07,0.69,0.7699999999999999,20.872564823970663,11.19421113523865,0.16,21.907821108616076,0.46807071605557243,0.02,0.17,22.915640844982065,
0.02,1.0,0.00042087542087542097,0.07,0.69,0.7699999999999999,20.915066134129457,11.208809108659722,0.13,22.076777329291495,0.442743451069335,0.02,0.01,24.31671350889025,
0.02,1.0,0.011752136752136754,0.07,0.69,0.7699999999999999,20.855648353368885,11.18838020681199,0.17,21.781255368742375,0.47914107696838193,0.02,0.22,22.350910086029423,
0.02,1.0,0.011075949367088606,0.07,0.69,0.7699999999999999,20.859205671395607,11.189607334233655,0.17,21.78607471975819,0.4767427426807845,0.02,0.21,22.470954736118443,
0.02,1.0,0.01785714285714286,0.07,0.69,0.7699999999999999,20.82346669149787,11.177256039995125,0.18,21.59444349217574,0.5012995810683654,0.02,0.3,21.29655970622248,
0.02,1.0,0.019607843137254905,0.07,0.69,0.7699999999999999,20.814217206687218,11.174051289124128,0.18,21.582568944318684,0.5078251516310279,0.02,0.32,21.00373741480787,
0.02,1.0,0.00977366255144033,0.07,0.69,0.7699999999999999,20.86605273889384,11.191967856496706,0.16,21.898652618230646,0.47221785892810114,0.02,0.19,22.700856807706568,
0.02,1.0,0.007936507936507938,0.07,0.69,0.7699999999999999,20.87570282405685,11.195291496161287,0.16,21.91224303652294,0.46606993125302765,0.02,0.16,23.02062597358036,
0.02,1.0,0.010416666666666668,0.07,0.69,0.7699999999999999,20.862672669807313,11.190802815936733,0.17,21.790774287570407,0.47440331521898077,0.02,0.2,22.589217142740978,
